dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
565,91,14224874,7777048,5642,1202
616,35,14224874,8136218,4893,1330
535,24,14224874,8315070,4688,716
500,19,14224874,8494148,4495,674
484,14,14224874,8672360,4300,665
443,18,14224874,8850856,4018,707
409,15,14224874,9029545,3731,681
350,18,14224874,9208084,3403,660
367,17,14224874,9386047,3138,615
314,16,14224874,9565299,2912,524
304,16,14224874,9744156,2727,473
289,13,14224874,9923466,2516,487
271,15,14224874,10101903,2344,428
242,11,14224874,10280854,2161,414
222,11,14224874,10459273,2035,337
204,14,14224874,10637449,1875,350
221,8,14814000,10816026,1781,307
188,12,15403875,10994517,1667,290
187,8,15992929,11173603,1560,286
169,11,16581637,11352965,1451,267
159,9,17170484,11531477,1376,225
120,2,17759424,11710042,1262,232
120,13,18348442,11888828,1175,194
104,7,18938973,12067763,1059,213
93,8,19528340,12245872,967,177
79,3,20118630,12424032,854,189
75,4,20708850,12603388,765,160
69,5,21298396,12782652,671,158
59,6,21887758,12961723,603,121
56,5,22479933,13140413,538,116
48,4,23071421,13319358,485,97
34,1,23661617,13498168,431,87
43,6,24249679,13676497,389,79
31,1,24839337,13855139,346,73
24,1,25427577,14034425,298,71
29,0,26016548,14213871,270,57
15,0,26606357,14213874,227,58
15,0,27196163,14213876,194,48
14,3,27785466,14213879,173,32
12,1,28375813,14213880,145,39
13,1,28965280,14213880,125,32
6,0,29555949,14213881,106,25
8,0,30144733,14213881,86,28
4,1,30733478,14213881,72,17
3,0,31322542,14213881,60,15
3,0,31910457,14213881,50,13
1,1,32499295,14213881,38,12
3,0,33087804,14213881,28,13
4,0,33675586,14213881,27,5
1,0,34265114,14213881,19,9
2,1,34855052,14213881,17,3
2,0,35442415,14803005,16,3
0,0,35442565,15392879,13,3
1,0,35442672,15981932,13,1
0,0,35442780,16570639,10,3
0,0,35442868,17159486,6,4
0,0,35442922,17748427,5,1
0,0,35442967,18337445,3,2
1,0,35442993,18927977,2,2
0,0,35442996,19517344,2,0
0,0,35442997,20107634,1,1
0,0,35442997,20697854,1,0
0,0,35442997,21287400,1,0
0,0,35442997,21876762,1,0
0,0,35442997,22468937,1,0
0,0,35442997,23060425,0,1
0,0,35442997,23650621,0,0
0,0,35442997,24238683,0,0
0,0,35442997,24828341,0,0
0,0,35442997,25416581,0,0
0,0,35442997,26005551,0,0
0,0,35442997,26595360,0,0
0,0,35442997,27185166,0,0
0,0,35442997,27774469,0,0
0,0,35442997,28364816,0,0
0,0,35442997,28954283,0,0
0,0,35442997,29544952,0,0
0,0,35442997,30133736,0,0
0,0,35442997,30722481,0,0
0,0,35442997,31311545,0,0
0,0,35442997,31899460,0,0
0,0,35442997,32488298,0,0
0,0,35442997,33076807,0,0
0,0,35442997,33664589,0,0
0,0,35442997,34254117,0,0
0,0,35442997,34844055,0,0
0,0,35442997,35431418,0,0
0,0,35442997,35431568,0,0
0,0,35442997,35431675,0,0
0,0,35442997,35431783,0,0
0,0,35442997,35431871,0,0
0,0,35442997,35431925,0,0
0,0,35442997,35431970,0,0
0,0,35442997,35431996,0,0
0,0,35442997,35431999,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
0,0,35442997,35432000,0,0
