dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
565,91,14224874,7777048,5642,1202
621,36,14224874,8135210,5006,1221
591,15,14224874,8314145,4823,759
489,16,14224874,8492648,4578,718
526,25,14224874,8671135,4389,690
479,24,14224874,8850228,4142,702
418,20,14224874,9029316,3879,661
418,20,14224874,9208331,3603,674
366,25,14224874,9386998,3328,616
358,16,14224874,9565951,3097,573
339,9,14224874,9744297,2947,480
299,14,14224874,9922947,2728,504
309,23,14224874,10101616,2556,458
277,9,14224874,10280213,2400,424
236,8,14224874,10458722,2213,415
224,9,14224874,10637059,2065,363
196,9,14290380,10815754,1917,335
202,12,14355937,10994116,1778,329
174,5,14421790,11173530,1647,300
165,8,14487108,11351759,1495,309
139,6,14552293,11530097,1361,267
138,12,14617677,11708439,1259,228
131,3,14682896,11886459,1164,223
119,5,14748269,12064442,1084,194
98,10,14813732,12243309,979,193
97,6,14879399,12422334,906,164
96,2,14945033,12601374,833,167
85,6,15010725,12779953,774,138
83,6,15075823,12958666,719,132
77,6,15141187,13137408,665,125
55,5,15206644,13316033,603,112
62,4,15272579,13495264,567,94
67,6,15337962,13674475,530,98
42,3,15403513,13853795,479,90
45,1,15469419,14032322,438,85
45,2,15534901,14211057,404,77
43,2,15601051,14211061,367,78
40,0,15666296,14211061,347,60
39,2,15731684,14211061,326,58
30,2,15797084,14211062,291,63
37,1,15863028,14211062,281,46
20,1,15928799,14211063,255,45
20,0,15994257,14211064,233,42
28,1,16059777,14211064,216,44
15,1,16125141,14211064,195,35
17,2,16190722,14211064,170,40
14,1,16256088,14211064,154,29
17,1,16321891,14211064,132,38
13,0,16387518,14211064,125,20
13,0,16452820,14211064,119,19
10,0,16517812,14211064,100,29
9,2,16583217,14276569,93,14
5,1,16583228,14342126,83,14
5,1,16583241,14407979,75,12
5,2,16583251,14473297,60,18
5,0,16583263,14538482,53,12
3,0,16583272,14603866,44,12
3,0,16583277,14669085,37,10
3,0,16583282,14734458,29,11
3,0,16583282,14799921,28,4
5,0,16583282,14865588,27,6
3,0,16583282,14931222,25,5
3,0,16583282,14996914,23,5
5,0,16583282,15062012,25,3
3,1,16583282,15127376,25,2
1,0,16583282,15192833,23,3
4,0,16583282,15258768,25,2
2,0,16583282,15324151,22,5
3,0,16583282,15389701,21,4
1,0,16583282,15455606,19,3
0,0,16583282,15521089,14,5
2,0,16583282,15587239,13,3
2,0,16583282,15652484,14,1
4,2,16583282,15717872,14,2
1,0,16583282,15783272,13,2
1,0,16583282,15849216,11,3
2,0,16583282,15914987,12,1
0,0,16583282,15980445,12,0
1,0,16583282,16045965,11,2
2,0,16583282,16111329,11,2
0,0,16583282,16176910,7,4
0,0,16583282,16242276,6,1
0,0,16583282,16308079,5,1
0,1,16583282,16373706,3,1
2,0,16583282,16439008,5,0
0,0,16583282,16504000,4,1
1,0,16583282,16569405,4,1
1,0,16583282,16569416,4,1
0,0,16583282,16569429,4,0
0,0,16583282,16569439,4,0
0,0,16583282,16569451,4,0
0,0,16583282,16569460,2,2
0,0,16583282,16569465,2,0
0,0,16583282,16569470,1,1
0,0,16583282,16569470,0,1
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
0,0,16583282,16569470,0,0
