dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
565,91,14224874,7777048,5642,1202
1012,29,14224874,8134362,5407,1218
996,20,14224874,8312636,5642,741
1052,18,14224874,8490998,5976,700
1105,19,14224874,8669955,6373,689
1119,29,14224874,8848994,6765,698
1181,24,14224874,9028544,7204,718
1236,19,14224874,9207357,7762,659
1345,27,14224874,9386806,8147,933
1435,39,14224874,9565759,8552,991
1504,37,14224874,9744213,8998,1021
1605,24,14224874,9923127,9521,1058
1728,36,14224874,10102134,10140,1073
1776,30,14224874,10280624,10714,1172
1869,27,14224874,10458861,11363,1193
1996,42,14224874,10637850,12031,1286
2153,42,14486084,10817090,12746,1396
2211,60,14748117,10995893,13443,1454
2332,43,15010412,11174843,14192,1540
2429,61,15272196,11353594,14877,1683
2578,42,15534149,11532151,15708,1705
2610,53,15795796,11710841,16481,1784
2703,55,16057803,11889667,17197,1932
2863,75,16319715,12067906,17878,2107
2873,54,16581946,12246537,18555,2142
2933,84,16843674,12425301,19176,2228
3010,78,17105442,12603891,19772,2336
3109,65,17366800,12781993,20284,2532
3197,77,17628305,12960540,20880,2524
3196,71,17890046,13139160,21382,2623
3319,72,18151826,13317289,21847,2782
3422,94,18413435,13495908,22398,2777
3446,93,18675079,13673993,22936,2815
3466,70,18936064,13852839,23424,2908
3480,84,19197958,14031932,23750,3070
3567,85,19460203,14211995,24172,3060
3456,97,19721961,14212074,24404,3127
3617,75,19983525,14212163,24716,3230
3577,103,20244506,14212240,24895,3295
3673,107,20505030,14212291,25102,3359
3598,98,20766491,14212349,25255,3347
3603,103,21028074,14212385,25353,3402
3677,110,21290019,14212410,25452,3468
3544,100,21551771,14212423,25562,3334
3665,92,21813315,14212425,25598,3537
3518,106,22074679,14212425,25558,3452
3547,101,22336035,14212425,25461,3543
3491,108,22597877,14212425,25317,3527
3372,112,22859575,14212425,25103,3474
3411,115,23120798,14212425,24854,3545
3357,96,23382508,14212425,24648,3467
3388,100,23643080,14473463,24368,3568
3235,110,23643141,14735335,24063,3430
3267,96,23643200,14997490,23782,3452
3129,117,23643257,15259145,23454,3340
3089,88,23643292,15521014,23150,3305
2988,72,23643325,15782583,22745,3321
2946,113,23643349,16044535,22305,3273
2853,102,23643360,16306442,21806,3250
2828,79,23643365,16568635,21396,3159
2785,114,23643366,16830332,20867,3200
2699,87,23643366,17092107,20416,3063
2567,92,23643366,17353450,19899,2992
2502,79,23643366,17614967,19415,2907
2377,84,23643366,17876701,18828,2880
2366,91,23643366,18138434,18354,2749
2254,68,23643366,18400066,17762,2778
2241,78,23643366,18661716,17206,2719
2058,73,23643366,18922691,16562,2629
2085,88,23643366,19184579,16081,2478
1922,75,23643366,19446827,15497,2431
1812,63,23643366,19708579,14931,2315
1804,60,23643366,19970158,14352,2323
1726,67,23643366,20231135,13811,2200
1608,69,23643366,20491664,13203,2147
1573,66,23643366,20753109,12694,2016
1515,63,23643366,21014688,12147,1999
1407,44,23643366,21276634,11582,1928
1344,52,23643366,21538399,11126,1748
1274,50,23643366,21799937,10577,1773
1147,42,23643366,22061299,9999,1683
1097,45,23643366,22322653,9483,1568
1092,41,23643366,22584515,9021,1513
1005,50,23643366,22846227,8479,1497
