dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
35308,887,16580189,16569007,240012,30898
35875,947,16580189,16569007,243306,31634
36254,951,16580189,16569007,246549,32060
36867,961,16580189,16569007,250243,32212
37349,966,16580189,16569007,253680,32946
37789,946,16580189,16569007,257116,33407
38058,1028,16580189,16569007,260333,33813
38969,1077,16580189,16569007,263927,34298
39175,1072,16580189,16569007,267244,34786
39972,1036,16580189,16569007,271050,35130
40615,1060,16580189,16569007,274861,35744
41165,1081,16580189,16569007,278696,36249
40822,1090,16580189,16569007,281740,36688
41886,1125,16580189,16569007,285587,36914
42357,1219,16580189,16569007,289064,37661
42924,1156,16580189,16569007,292889,37943
44108,1146,16580189,16569007,296984,38867
44364,1197,16580189,16569007,300825,39326
44217,1203,16580189,16569007,303806,40033
45139,1205,16580189,16569007,308242,39498
46135,1243,16580189,16569007,312594,40540
46546,1229,16580189,16569007,316721,41190
46473,1253,16580189,16569007,320373,41568
47841,1316,16580189,16569007,324168,42730
48078,1318,16580189,16569007,327881,43047
48633,1262,16580189,16569007,332313,42939
49157,1299,16580189,16569007,336355,43816
50066,1396,16580189,16569007,340455,44570
50965,1296,16580189,16569007,344939,45185
50957,1356,16580189,16569007,349402,45138
51520,1399,16580189,16569007,353076,46447
52360,1351,16580189,16569007,357482,46603
52944,1435,16580189,16569007,361762,47229
53537,1390,16580189,16569007,366265,47644
54390,1383,16580189,16569007,370642,48630
55075,1443,16580189,16569007,374820,49454
55327,1471,16580189,16569007,379288,49388
56152,1564,16580189,16569007,383842,50034
57087,1526,16580189,16569007,388571,50832
57480,1523,16580189,16569007,393163,51365
58146,1575,16580189,16569007,397880,51854
59168,1518,16580189,16569007,402822,52708
59870,1591,16580189,16569007,407611,53490
60588,1586,16580189,16569007,412829,53784
61088,1603,16580189,16569007,417838,54476
62051,1694,16580189,16569007,422949,55246
62271,1630,16580189,16569007,427760,55830
63381,1687,16580189,16569007,432907,56547
64278,1682,16580189,16569007,438117,57386
64634,1687,16580189,16569007,443040,58024
65542,1739,16580189,16569007,447939,58904
66132,1771,16580189,16569007,453098,59202
66816,1852,16580189,16569007,457797,60265
67285,1889,16580189,16569007,462932,60261
68188,1927,16580189,16569007,467845,61348
69206,1870,16580189,16569007,472991,62190
69826,1940,16580189,16569007,478108,62769
70407,1922,16580189,16569007,483216,63377
71334,1942,16580189,16569007,488212,64396
71662,1907,16580189,16569007,493292,64675
72314,1960,16580189,16569007,498308,65338
73255,1889,16580189,16569007,503497,66177
74116,2029,16580189,16569007,508306,67278
75032,1971,16580189,16569007,513677,67690
75681,2033,16580189,16569007,518937,68388
76507,2059,16580189,16569007,524073,69312
77244,1996,16580189,16569007,529807,69514
78259,2077,16580189,16569007,535739,70250
78902,2150,16580189,16569007,541546,70945
79490,2208,16580189,16569007,546799,72029
80158,2175,16580189,16569007,552146,72636
80932,2290,16580189,16569007,557271,73517
81948,2247,16580189,16569007,562890,74082
82496,2287,16580189,16569007,568089,75010
83042,2267,16580189,16569007,573091,75773
83314,2316,16580189,16569007,577735,76354
