dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
565,91,14224874,7777048,5642,1202
1019,37,14224874,8134192,5318,1306
920,8,14224874,8313358,5466,764
999,28,14224874,8491626,5769,668
1044,24,14224874,8669677,6123,666
1131,21,14224874,8848447,6553,680
1151,23,14224874,9027581,7026,655
1228,20,14224874,9206227,7546,688
1354,28,14224874,9385306,7905,967
1493,25,14224874,9564973,8466,907
1531,27,14224874,9743552,9029,941
1594,30,14224874,9922220,9566,1027
1638,30,14224874,10101274,10079,1095
1704,32,14224874,10280192,10627,1124
1863,41,14224874,10459313,11272,1177
1979,39,14224874,10638061,11900,1312
2120,39,14813925,10816981,12530,1451
2192,41,15403081,10996199,13225,1456
2226,49,15992041,11174582,13855,1547
2321,51,16581165,11353334,14525,1600
2354,56,17169062,11532336,15182,1641
2409,52,17758083,11710670,15741,1798
2527,72,18346892,11889058,16294,1902
2468,57,18937444,12066803,16673,2032
2518,66,19526043,12245507,16974,2151
2631,64,20115109,12424244,17376,2165
2677,60,20703908,12603003,17749,2244
2584,72,21294178,12781378,17989,2272
2629,59,21883700,12960074,18220,2339
2527,67,22473215,13139353,18218,2462
2542,77,23062398,13318531,18308,2375
2564,98,23650841,13498123,18356,2418
2493,71,24238945,13676196,18215,2563
2348,76,24827704,13854926,17887,2600
2279,70,25415744,14033839,17592,2504
2263,87,26003753,14212142,17204,2564
2138,78,26593544,14212224,16833,2431
2112,76,27182739,14212289,16391,2478
2016,57,27772413,14212351,15865,2485
1889,77,28360737,14212409,15259,2418
1761,87,28950097,14212444,14652,2281
1658,68,29539345,14212489,14017,2225
1581,64,30126774,14212509,13378,2156
1498,54,30716695,14212514,12702,2120
1370,61,31305663,14212514,11939,2072
1237,47,31894317,14212514,11153,1976
1224,50,32483551,14212514,10472,1855
1129,48,33071839,14212514,9844,1709
1031,38,33660910,14212514,9210,1627
942,53,34248879,14212514,8553,1546
896,48,34837764,14212514,7931,1470
715,31,35426596,14801369,7295,1320
679,40,35426741,15390376,6724,1210
637,33,35426861,15979218,6122,1206
530,28,35426972,16568241,5530,1094
492,29,35427058,17156068,4962,1031
406,25,35427130,17745067,4435,908
376,26,35427188,18333880,3913,872
315,23,35427224,18924435,3498,707
249,23,35427249,19513032,3056,668
277,25,35427250,20102102,2688,620
245,24,35427250,20690903,2402,507
187,12,35427250,21281193,2103,474
170,8,35427250,21870709,1864,401
148,11,35427250,22460228,1617,384
112,11,35427250,23049416,1415,303
94,9,35427250,23637863,1253,247
85,13,35427250,24225952,1061,264
79,8,35427250,24814726,902,230
66,7,35427250,25402767,774,187
47,5,35427250,25990783,644,172
35,6,35427250,26580582,530,143
35,2,35427250,27169782,449,114
33,5,35427250,27759463,386,91
22,1,35427250,28347787,329,78
21,2,35427250,28937134,269,79
24,3,35427250,29526383,220,70
13,1,35427250,30113822,185,47
9,2,35427250,30703737,157,35
8,1,35427250,31292707,132,32
8,0,35427250,31881357,106,34
5,1,35427250,32470587,91,19
0,1,35427250,33058867,69,21
3,1,35427250,33647936,47,24
3,1,35427250,34235897,36,13
2,0,35427250,34824780,30,8
2,1,35427250,35413607,25,6
0,0,35427250,35413755,16,9
1,1,35427250,35413876,11,5
0,0,35427250,35413987,11,0
3,1,35427250,35414073,11,2
1,0,35427250,35414145,9,3
0,0,35427250,35414203,8,1
0,0,35427250,35414240,5,3
1,0,35427250,35414265,6,0
0,0,35427250,35414266,5,1
0,0,35427250,35414266,5,0
0,0,35427250,35414266,2,3
0,0,35427250,35414266,1,1
0,0,35427250,35414266,1,0
0,0,35427250,35414266,1,0
0,0,35427250,35414266,0,1
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
0,0,35427250,35414266,0,0
